entity,instance,name,value,dataset_date,table_name,tag,check,date,category,level
Column,sum_move_duration,StandardDeviation,181.310822,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_stay,StandardDeviation,0.428735055,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_move,StandardDeviation,0.604369407,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_hit,ApproxQuantiles-0.25,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_duration_session,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_volume,ApproxQuantiles-0.25,572346,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,distance,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_distance,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_stay_duration,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_move_duration,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_stay,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_move,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_hit,ApproxQuantiles-0.5,2,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_duration_session,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_volume,ApproxQuantiles-0.5,2659108,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
